family,child_competence,win_rate,loss_rate,timeout_rate
1 Child + 1 Adult,0.4,0.213,0.563,0.224
2 Children + 1 Adult,0.4,0.044,0.92,0.036
1 Child + 2 Adults,0.4,0.251,0.583,0.166
2 Children + 2 Adults,0.4,0.035,0.939,0.026
3 Children + 1 Adult,0.4,0.008,0.989,0.003
1 Child + 3 Adults,0.4,0.177,0.748,0.075
1 Child + 1 Adult,0.5,0.328,0.381,0.291
2 Children + 1 Adult,0.5,0.114,0.779,0.107
1 Child + 2 Adults,0.5,0.361,0.444,0.195
2 Children + 2 Adults,0.5,0.096,0.846,0.058
3 Children + 1 Adult,0.5,0.032,0.952,0.016
1 Child + 3 Adults,0.5,0.248,0.645,0.107
1 Child + 1 Adult,0.6,0.438,0.183,0.379
2 Children + 1 Adult,0.6,0.238,0.563,0.199
1 Child + 2 Adults,0.6,0.45,0.314,0.236
2 Children + 2 Adults,0.6,0.197,0.717,0.086
3 Children + 1 Adult,0.6,0.11,0.845,0.045
1 Child + 3 Adults,0.6,0.331,0.543,0.126
1 Child + 1 Adult,0.7,0.566,0.052,0.382
2 Children + 1 Adult,0.7,0.385,0.326,0.289
1 Child + 2 Adults,0.7,0.534,0.177,0.289
2 Children + 2 Adults,0.7,0.332,0.533,0.135
3 Children + 1 Adult,0.7,0.231,0.647,0.122
1 Child + 3 Adults,0.7,0.421,0.42,0.159
1 Child + 1 Adult,0.8,0.644,0.031,0.325
2 Children + 1 Adult,0.8,0.509,0.188,0.303
1 Child + 2 Adults,0.8,0.593,0.132,0.275
2 Children + 2 Adults,0.8,0.425,0.434,0.141
3 Children + 1 Adult,0.8,0.385,0.486,0.129
1 Child + 3 Adults,0.8,0.474,0.367,0.159
1 Child + 1 Adult,0.9,0.69,0.015,0.295
2 Children + 1 Adult,0.9,0.628,0.116,0.256
1 Child + 2 Adults,0.9,0.641,0.104,0.255
2 Children + 2 Adults,0.9,0.482,0.354,0.164
3 Children + 1 Adult,0.9,0.47,0.37,0.16
1 Child + 3 Adults,0.9,0.497,0.339,0.164
1 Child + 1 Adult,1.0,0.699,0.016,0.285
2 Children + 1 Adult,1.0,0.647,0.093,0.26
1 Child + 2 Adults,1.0,0.647,0.093,0.26
2 Children + 2 Adults,1.0,0.505,0.32,0.175
3 Children + 1 Adult,1.0,0.505,0.32,0.175
1 Child + 3 Adults,1.0,0.505,0.32,0.175
